# form	pos	lemma	sense	freq
ཀླན་ཀ			938
ཀླན་པ			4
ཀླབ			1
ཀླམ་པ			1
ཀླས			218
ཀླས་པ			327
ཀླུ	NOUN		16929
ཀླུ་ཁང			20
ཀླུ་གཉན			268
ཀླུ་གཏོར			47
ཀླུ་གནོད			4
ཀླུ་ཆུ			
ཀླུ་ཆེན			308
ཀླུ་ཐེབས			11
ཀླུ་ཐོར			
ཀླུ་དབང			335
ཀླུ་དུག			5
ཀླུ་ནད			44
ཀླུ་བདག			10
ཀླུ་བདུད			7
ཀླུ་བཙན			13
ཀླུ་བསང			
ཀླུ་མོ	NOUN		330
ཀླུ་འབུམ			38
ཀླུ་རྒྱལ			65
ཀླུ་ཤིང			54
ཀླུ་སྒྲུབ	PROPN		6811
ཀླུ་སྨན			144
ཀླུང			4581
ཀླུང་ཁང			1
ཀླུང་ཆུ			
ཀླུང་ཐང			
ཀླུང་པ			17
ཀླུང་ཕྱུགས			
ཀླུང་མ			1
ཀླུང་འབབ			
ཀླུང་རགས			
ཀླུང་རྒྱ			
ཀླུང་རྒྱུན			4
ཀླུང་རྟ			8
ཀླུང་རྩྭ			
ཀླུང་ལྡན			
ཀླུང་ཤ			
ཀླུང་ཤོ			
ཀླུང་ཤོད			4
ཀླུང་སྒོག			
ཀླུངས			43
ཀླུབ			8
ཀླུབ་པ			4
ཀླུབས			79
ཀློ་པ			
ཀློ་ཡུལ			3
ཀློ་ཤོག			
ཀློ་སུག			
ཀློག			1315
ཀློག་གྲྭ			
ཀློག་ཐོབ			
ཀློག་དེབ			
ཀློག་པ	VERB		2008
ཀློག་འདོན			26
ཀློག་ར			
ཀློག་ཤུ			
ཀློག་སྐྱ			80
ཀློག་སློབ			
ཀློགས	VERB		40
ཀློགས་མ			
ཀློང			9545
ཀློང་གྱུར			4
ཀློང་ཆེན			278
ཀློང་འཁོར			5
ཀློང་འཁྱིལ			4
ཀློང་ཡངས			490
ཀློང་རོལ			
ཀློང་རྡོལ			26
ཀློང་སྡེ			9
ཁ	NOUN		69891
ཁ་ཀློ			
ཁ་ཁ			1054
ཁ་ཁུ			6
ཁ་ཁེངས			1
ཁ་ཁེབས			2
ཁ་ཁོར			
ཁ་ཁྱུད			
ཁ་ཁྱེར			983
ཁ་ཁྲམ			1
ཁ་ཁྲལ			11
ཁ་ཁྲིམས			4
ཁ་གང			96
ཁ་གང་བ			
ཁ་གང་མ			4
ཁ་གཅོད			29
ཁ་གཏད་པ			2
ཁ་གཏམ			28
ཁ་གཏིང			13
ཁ་གདན			4
ཁ་གཟར			29
ཁ་གཡར			
ཁ་གཡལ			
ཁ་གཡེང			
ཁ་གཡོགས			6
ཁ་གཤག			
ཁ་གཤགས			2
ཁ་གསག			226
ཁ་གསང་པོ			
ཁ་གསངས			
ཁ་གསབ			1
ཁ་གསལ			66
ཁ་གསེ་བ			
ཁ་གསོས			15
ཁ་གྱུ་བ			
ཁ་གྱེས་པ			6
ཁ་གྱོང་པོ			
ཁ་གྱོན			
ཁ་གྲངས			20
ཁ་གྲམ་པ			
ཁ་གྲུ			2
ཁ་གླལ་བ			1
ཁ་གླིང			
ཁ་ངན			37
ཁ་ངལ			
ཁ་ངོ			2
ཁ་ཅིག			
ཁ་ཅོལ			
ཁ་ཆ			25
ཁ་ཆག			12
ཁ་ཆད			6
ཁ་ཆབ			3
ཁ་ཆར			128
ཁ་ཆིངས			59
ཁ་ཆུ			145
ཁ་ཆེ	PROPN		1522
ཁ་ཆེ་སྐྱེས			
ཁ་ཆེམས			119
ཁ་ཆོས			110
ཁ་ཉིན			1
ཁ་ཉུང་བ			1
ཁ་ཉུལ			
ཁ་ཏ			163
ཁ་ཏ་བ			2
ཁ་ཏིག			
ཁ་ཏོག			8
ཁ་ཏོན			1852
ཁ་ཐབས			12
ཁ་ཐལ			3
ཁ་ཐལ་བ			1
ཁ་ཐུག			12
ཁ་ཐུམ			3
ཁ་ཐེར་ཐེར			
ཁ་ཐོག			2
ཁ་ཐོགས			
ཁ་ཐོན་པ			
ཁ་ཐོར			2
ཁ་ད་ཆད			7
ཁ་དཀར་པོ			11
ཁ་དཀྲིས			
ཁ་དག			16
ཁ་དན			11
ཁ་དཔེ	OTHER		2
ཁ་དཔྱ			
ཁ་དབང			1
ཁ་དབྲག			4
ཁ་དམ་པོ			1
ཁ་དམར			11
ཁ་དམར་བ			3
ཁ་དི་ར			2
ཁ་དིག			
ཁ་དུམ་པ			13
ཁ་དུལ་པོ			
ཁ་དོག			21825
ཁ་དོག་མཆོག			
ཁ་དྲག			19
ཁ་དྲང་པོ			
ཁ་དྲངས			3
ཁ་དྲལ			
ཁ་དྲི			10
ཁ་དྲོ			8
ཁ་དྲོ་པོ			
ཁ་དྲོ་བ			
ཁ་དྲོག			
ཁ་ནག			17
ཁ་ནིང			14
ཁ་ནུབ			34
ཁ་ནེམ			
ཁ་པ	OTHER		380
ཁ་པོ			52
ཁ་པོ་ཆེ			
ཁ་ཕོ			34
ཁ་ཕོར			22
ཁ་ཕྱི			27
ཁ་ཕྱིས			2
ཁ་ཕྱེ			5
ཁ་ཕྱོགས			142
ཁ་ཕྲུ			110
ཁ་ཕྲུམ			
ཁ་བ	NOUN		1124
ཁ་བ་ཆུང			
ཁ་བ་ཆེ			
ཁ་བཀུག			1
ཁ་བཀྲམ			2
ཁ་བཀྲལ			
ཁ་བགྱིད་པ			
ཁ་བཏགས			20
ཁ་བཏུལ			
ཁ་བད			116
ཁ་བབས			
ཁ་བརྒྱ			2
ཁ་བརྟན་པོ			
ཁ་བརྡ	OTHER		6
ཁ་བརླང་པོ			
ཁ་བཤད			122
ཁ་བཤལ			8
ཁ་བསོད			1
ཁ་བསྲེ			
ཁ་བུབ་པ			
ཁ་བྱ			
ཁ་བྱང			343
ཁ་བྲག			17
ཁ་བློན			
ཁ་མཁས་པོ			
ཁ་མང་པོ			1
ཁ་མངལ			1
ཁ་མཆུ	NOUN		147
ཁ་མཉམ			2
ཁ་མདོག			18
ཁ་མཚར			1
ཁ་མཚུལ			4
ཁ་མུར			1
ཁ་མོ			25
ཁ་ཙམ			2
ཁ་ཚ			53
ཁ་ཚ་པོ			
ཁ་ཚ་བ			6
ཁ་ཚ་ར			
ཁ་ཚག			
ཁ་ཚང			8
ཁ་ཚད			4
ཁ་ཚན			1
ཁ་ཚར			149
ཁ་ཚར་སྨན			
ཁ་ཚིག			25
ཁ་ཚུགས			
ཁ་ཚུབ			
ཁ་ཚོང			
ཁ་ཚོད			1
ཁ་ཚོན			406
ཁ་ཛར			
ཁ་ཞུགས			
ཁ་ཞུན			1
ཁ་ཞེ			116
ཁ་ཞེང			41
ཁ་ཞེན			1
ཁ་ཟས			4933
ཁ་ཟུངས			
ཁ་ཟུར			1
ཁ་ཟླ			
ཁ་འཁོར་བ			
ཁ་འཁོར་མ			
ཁ་འཁྱེར			
ཁ་འགུལ			
ཁ་འགྱུར			
ཁ་འགྱེད			2
ཁ་འགྲིལ			
ཁ་འཆམ			4
ཁ་འཆལ			17
ཁ་འཆིང			15
ཁ་འཆུ་བ			
ཁ་འཆོལ			1
ཁ་འཇམ			9
ཁ་འཇལ་བ			
ཁ་འཐེན			
ཁ་འདམ			2
ཁ་འདར			2
ཁ་འདིག			
ཁ་འདུམ			2
ཁ་འདེབས			3
ཁ་འདོན			99
ཁ་འདྲི			
ཁ་འཕྱིད			
ཁ་འཕྱུར			1
ཁ་འཕྲལ			
ཁ་འཕྲི			
ཁ་འཕྲིན			
ཁ་འབུག			
ཁ་འབུད			1
ཁ་འབུར			
ཁ་འབུས			19
ཁ་འབོག			
ཁ་འབྱམས			97
ཁ་འབྱར			
ཁ་འབྲས			
ཁ་འཚུབ			
ཁ་འཚོགས			
ཁ་འཛིང			
ཁ་འཛིན			243
ཁ་འཛུམ			6
ཁ་འོག			12
ཁ་ཡ			4
ཁ་ཡ་ངོ་ཡ			
ཁ་ཡག			4
ཁ་ཡར			15
ཁ་ཡིག			22
ཁ་ཡུ			
ཁ་ཡོག			25
