# form	pos	lemma	sense	freq
བརྡ	NOUN			11579
བསྡུ	VERB			
བསྡུད				
བསྡུས	VERB			
ན	ADP			
ན་རེ	ADP			3175
ན་ལེ་ཤམ				
ནག	VERB			3448
ནག་ནོག				64
ནགས	NOUN			4112
ནང	NOUN			117282
ནད	NOUN			29281
ནན	NOUN			2574
ནན་ཏན	NOUN			6734
ནམ	PRON			
ནམ་མཁའ	NOUN			45364
ནལ་ཤམ				
ནུ་མ	NOUN			1673
ནུབ	ADV			17958
ནུས	VERB			34849
ནེ་ཙོ	NOUN			366
ནེམ				
ནེམ་ནུར				24
ནེའུ་ལེ	OTHER			597
ནེའུ་སིང				66
ནོར་བུ	NOUN			16931
གནག	VERB			786
གནམ	NOUN			2472
གནས	NOUN			188946
གནས་སྐབས	NOUN			16423
གནས་བརྟན	NOUN			5020
གནོད	VERB			
གནོན	VERB			
མནན	VERB			
རྣ	NOUN			
རྣག	NOUN			
རྣམ	NOUN			
རྣམས	DET			678552
རྣལ	VERB			
རྣལ་འབྱོར	NOUN			49933
རྣལ་མ				627
རྣོ	VERB			
རྣོ་བ	VERB			714
རྣོན་པོ	ADJ			1423
སྣ	NOUN			23419
སྣ་ཁུང				9
སྣ་ཚོགས	DET			53097
སྣག	NOUN			350
སྣང	VERB			50580
སྣབས				268
སྣམ་བུ	NOUN			2121
སྣམ་སྦྱར	NOUN			368
སྣུམ	NOUN			1294
སྣུམ་པ				335
པགས	NOUN			
པང	NOUN			
པད				
པད་མ	NOUN			3619
པད་མོ	NOUN			
པདྨ	NOUN			
པི་ཝང	OTHER			757
པུ་སྟི				
པུ་ཤེལ				40
པུས་མོ	NOUN			2374
དཔག	VERB			27269
དཔག་ཚད	NOUN			6932
དཔའ	NOUN			5145
དཔལ	OTHER			23203
དཔུང	NOUN			9610
དཔེ	NOUN			17839
དཔེ་བྱད	NOUN			
དཔེར་ན				
དཔོན	NOUN			
དཔྱིད	NOUN			1585
དཔྱིད་ཀ				23
དཔྲལ་བ	NOUN			1435
ལྤགས				
སྤང	VERB			12211
སྤངས	VERB			
སྤུ	NOUN			2813
སྤུ་གྲི	NOUN			1828
སྤུན	NOUN			2197
སྤུན་ཟླ	OTHER			27
སྤེལ	VERB			
སྤོང	VERB			
སྤོབས	VERB			
སྤྱད	VERB			7310
སྤྱན	NOUN			50065
སྤྱི	DET			25708
སྤྱི་གཙུག	NOUN			4139
སྤྱིའུ་ཚུགས				56
སྤྱོད	VERB			21023
སྤྱོད་ལམ	NOUN			5485
སྤྲ་ཚིལ				185
སྤྲིང་ཡིག	OTHER			
སྤྲིན	NOUN			16620
སྤྲུལ	VERB			
སྤྲེའུ	NOUN			1512
སྤྲོས	VERB			5294
ཕ	NOUN			10224
ཕ་གུ	NOUN			
ཕ་བོང	NOUN			359
ཕ་རོལ	NOUN			79984
ཕག	NOUN			2746
ཕག་མོ	PROPN			3689
ཕན	NOUN			
ཕན་ཆད	ADV			1754
ཕན་ཚུན	ADV			13131
ཕན་ཡོན	NOUN			11509
ཕལ	NOUN			
ཕལ་ཆེ	ADJ			
ཕུང་པོ	NOUN			30288
ཕུན་ཚོགས	ADJ			4214
ཕུན་སུམ	OTHER			
ཕོ་བྲང	NOUN			13361
ཕོད	VERB			1647
ཕྱག	NOUN			129604
ཕྱག་དར	NOUN			842
ཕྱང་ངེ				
ཕྱི	NOUN			21864
ཕྱི་མ	ADJ			22596
ཕྱི་རབས	OTHER			
ཕྱིན	VERB			
ཕྱིར	OTHER			324
ཕྱིས	VERB			774
ཕྱུགས	NOUN			1652
ཕྱེ	VERB			
