# form	pos	lemma	sense	freq
ཀར་བོན་ལོ་རྩིས				
ཀར་བྷ				
ཀར་མ				
ཀར་མ་ཀམ་ཚང				
ཀར་མ་གཉིས་པ				
ཀར་མ་ད་ཀི				
ཀར་མ་པ				
ཀར་མ་བཀའ་བརྒྱུད				
ཀར་མ་བཀའ་རྒྱུད				
ཀར་མ་བཙན་སྐྱོང				
ཀར་མ་བསྟན་སྐྱོང				
ཀར་མ་བྷ་དྲ				
ཀར་མ་མ་ལེ				
ཀར་མ་རབས་བརྒྱད				
ཀར་མ་ཤ་ཏམ				
ཀར་མ་ཤ་ཨ				
ཀར་མྱང་གི་རྩིས				
ཀར་ཚུགས				
ཀར་ཡོལ				
ཀར་རྒྱལ				
ཀར་རྒྱུད				
ཀར་རྩིན				
ཀར་རྫི				
ཀར་ལང་བ				
ཀར་ལངས་པ				
ཀར་ལུགས				28
ཀར་ལེ				
ཀར་ཤ				
ཀར་ཤ་པ				
ཀར་ཤ་པ་ན				
ཀར་ཤ་པ་ནི				
ཀར་ཤུབས				
ཀར་ས				
ཀར་སོག				
ཀར་སྐྱིན				
ཀར་སྡེ				
ཀར་སྨུག				
ཀར་སྲིད་པ				
ཀར་ཨི་ཀ				
ཀརཎ་ཀ				
ཀརཎཎ				
ཀརཎཎ་ཀཱ				
ཀརཤ་པ་ན				
ཀརཤའི་འབྲས				
ཀརཤཱ་པཎ				
ཀརྐ་ཊ				102
ཀརྐ་ཏ				
ཀརྐཊ				
ཀརྐི་ཀ				
ཀརྐུ་ར				
ཀརྐོ་ཊ				49
ཀརྐོ་ཏ				
ཀརྞའི་ཡུལ				
ཀརྟི་ཀ				
ཀརྣ་ཀཤ་ར				
ཀརྣི་སྒོ་བཞི				
ཀརྦུ་རི				
ཀརྨ				690
ཀརྨ་ཀམ་ཚང				
ཀརྨ་གན་དཀར				
ཀརྨ་གན་དྲིལ				
ཀརྨ་དགོན་གསར				
ཀརྨ་པ				
ཀརྨ་པཀྵི				
ཀརྨ་བཀའ་བརྒྱུད				
ཀརྨ་བཛྲ				
ཀརྨ་ཞྭ་དམར				
ཀརྨ་རབས་བརྒྱད				
ཀརྨ་ཤ་ཏམ				
ཀརྨ་ཤག				
ཀརྨ་སྒར་བྲིས				
ཀརྨ་སྒྲུབ་རྒྱུད				
ཀརྨ་སྙིང་ཐིག				
ཀརྴ་པ་ཎ				
ཀལ				
ཀལ་ཀཱ་ཨ				
ཀལ་ཀླ་ཨ				
ཀལ་དེ				
ཀལ་པ				
ཀལ་ལྱན				
ཀལྤ				53
ཀལྱན				
ཀཤ་ཡ				
ཀཤ་ཡ་ནག་པོ				
ཀཤ་ར་ཀཿ				
ཀཤ་ར་གསུམ				
ཀཤམཱ་ར				
ཀཤམཱི				
ཀཤམིར་ཛ་ཀུརྐུམ				
ཀཤཱུ་དྷ				
ཀཤེཏྲ་པ་ལ				
ཀཥ་ར				
ཀཥི་ར				
ཀཥིས་ཁར				
ཀཥྛ་མཎྚ				
ཀས་པུ་རི				
ཀས་བྱ				
ཀས་བླངས				
ཀས་མ་རི				
ཀས་མིར				
ཀས་འཆེ་བ				
ཀས་ལེ་ཕོ་ནི་ཡ				
ཀསྟུ་རཱི				
ཀསྤུ				
ཀསྨི་ར				
ཀསྨིར				
ཀཱ་ཀ				
ཀཱ་ཀ་རུ				
ཀཱ་ཀོ་ལ	NOUN			1
ཀཱ་ཁི་ལ				
ཀཱ་ག				
ཀཱ་ཏ་ཀ				
ཀཱ་ཏྱ་བུ་མོ				
ཀཱ་ཏྱ་ཡ་ན				
ཀཱ་ཏྱའི་བུ་མོ				
ཀཱ་ཏྱཱ་ཡ་ན				
ཀཱ་ཐོག་དགོན				
ཀཱ་དྲུ				
ཀཱ་པ་ལི				
ཀཱ་བེ་རི				
ཀཱ་མ་ཏཱ་ན				
ཀཱ་མ་ཙནྡྲ				
ཀཱ་མ་རཱུ་པ				
ཀཱ་ཙི་ཀཱ				
ཀཱ་ཡ				
ཀཱ་ཡཱ				
ཀཱ་ཡཿ				
ཀཱ་ར་བཱི				
ཀཱ་རཎཌ				
ཀཱ་རཱ				
ཀཱ་རི་ཀ				40
ཀཱ་རི་ཀཱ				
ཀཱ་རུ				
ཀཱ་རྔ་ཀཱ་ལ				
ཀཱ་ལ་ཀཱུ་ཊ				
ཀཱ་ལ་ཀོ				
ཀཱ་ལ་མི་ཥི				
ཀཱ་ལ་ཙ་ཀྲ				
ཀཱ་ལ་སྔོ་བསང				
ཀཱ་ལཱི་དཱ་ས				
ཀཱ་ལཱི་ཡ				
ཀཱ་ལི	OTHER			2194
ཀཱ་ལི་ཀཱ				
ཀཱ་ལིན་དཱི				
ཀཱ་ལེ་ཡ				
ཀཱ་ཤ				
ཀཱ་ཤི་མབ་ལ				
ཀཱ་ཤིའ				
ཀཱ་ཤྱ་པ				
ཀཱང་ར				
ཀཱཉཙ་ནམ				
ཀཱན་སུ				
ཀཱི་ཤའི་འདབ				
ཀཱི་སྒྲོགས				
ཀཱིམ་ཀ་ར				
ཀི	ADP			2402
ཀི་ཀང				62
ཀི་ཀི				13
ཀི་ཀི་བསྭོ་བསྭོ				
ཀི་ཀི་ར				
ཀི་ཀིར				
ཀི་ཀིས་རྩེན				
ཀི་ཀུ				
ཀི་གུ				
ཀི་ཏ་ཀ				
ཀི་ནི་རི་ཏི				
ཀི་ནོར				
ཀི་པ				
ཀི་བརྒྱབ				
ཀི་བསྭ་ཧོ་གསུམ				
ཀི་མ				
ཀི་མི				
ཀི་ཙི				
ཀི་ཙེ				
ཀི་ཝན་ཨལ				
ཀི་འདེབས་པ				
ཀི་ར་ཏ				
ཀི་ར་ན				
ཀི་ར་ཨ				
ཀི་རི་ཀ་ར				
ཀི་རི་ཀན				
ཀི་རི་ཀི་རི				
ཀི་རི་ཏ་ཀ				
ཀི་རི་ཤི་ན་མི་ནོན				
ཀི་རྒྱག་པ				
ཀི་རྒྱུང				
ཀི་རྩི				
ཀི་རྩི་བྱེད				
ཀི་ལ་ཀི་ལ				
ཀི་ལ་ཀི་ལན				
ཀི་ལ་ཡ				
ཀི་ལི				
ཀི་ལི་ཀི་ལ				
ཀི་ལི་གི་ལ				
ཀི་ལོ				
ཀི་ལོ་མེ་ཨེར				
ཀི་ལོ་ཝོལཊ				
ཀི་ལོན་སྦི་ཨ				
ཀི་ལྡིར				
ཀི་ཤའི་འདབ				
ཀི་ཤར				
ཀི་ཥ་ཀ				
ཀི་སྒྲ				
ཀི་སྒྲོག				
ཀི་སྦེ་ཀྲུ				
ཀི་སྭོ་ཧོ་གསུམ				
ཀི་ཧ་ཀ				
ཀི་ཧི་ཧི				
ཀིང་ཀ་ར				
ཀིང་ཀང				
ཀིང་གི་རྩེ				
ཀིང་ངེ				
ཀིང་ཅང་ཧུར				
ཀིང་ཤུ་ཀ				16
ཀིངཀ་ར				
ཀིངྐར				
ཀིམ				
ཀིམ་ཁབ				
ཀིམ་པ				
ཀིམ་པ་ཀ				2
ཀིམ་པ་ལ				
ཀིམ་བ				
